startdateTime,TFPrecipBulkAvg
2020-03-03T23:30:00Z,0.0
2020-03-04T00:00:00Z,0.0
2020-03-04T00:30:00Z,0.0
2020-03-04T01:00:00Z,0.0
2020-03-04T01:30:00Z,0.0
2020-03-04T02:00:00Z,0.0
2020-03-04T02:30:00Z,0.0
2020-03-04T03:00:00Z,0.0
2020-03-04T03:30:00Z,0.0
2020-03-04T04:00:00Z,0.0128
2020-03-04T04:30:00Z,0.0258
2020-03-04T05:00:00Z,0.0128
2020-03-04T05:30:00Z,0.0386
2020-03-04T06:00:00Z,0.0772
2020-03-04T06:30:00Z,0.013000000000000001
2020-03-04T07:00:00Z,0.0258
2020-03-04T07:30:00Z,0.0
2020-03-04T08:00:00Z,0.0
2020-03-04T08:30:00Z,0.0
2020-03-04T09:00:00Z,0.0
2020-03-04T09:30:00Z,0.0
2020-03-04T10:00:00Z,0.0
2020-03-04T10:30:00Z,0.0
2020-03-04T11:00:00Z,0.0128
2020-03-04T11:30:00Z,0.013000000000000001
2020-03-04T12:00:00Z,0.0
2020-03-04T12:30:00Z,0.0
2020-03-04T13:00:00Z,0.0
2020-03-04T13:30:00Z,0.0
2020-03-04T14:00:00Z,0.0
2020-03-04T14:30:00Z,0.11560000000000001
2020-03-04T15:00:00Z,0.0258
2020-03-04T15:30:00Z,0.013000000000000001
2020-03-04T16:00:00Z,0.0
2020-03-04T16:30:00Z,0.0
2020-03-04T17:00:00Z,0.0
2020-03-04T17:30:00Z,0.0
2020-03-04T18:00:00Z,0.0
2020-03-04T18:30:00Z,0.0
2020-03-04T19:00:00Z,0.0
2020-03-04T19:30:00Z,0.0
2020-03-04T20:00:00Z,0.0
2020-03-04T20:30:00Z,0.0
2020-03-04T21:00:00Z,0.0
2020-03-04T21:30:00Z,0.0
2020-03-04T22:00:00Z,0.0
2020-03-04T22:30:00Z,0.0
2020-03-04T23:00:00Z,0.0
2020-03-04T23:30:00Z,0.0
2020-03-05T00:00:00Z,0.0
2020-03-05T00:30:00Z,0.0
2020-03-05T01:00:00Z,0.0
2020-03-05T01:30:00Z,0.0
2020-03-05T02:00:00Z,0.0
2020-03-05T02:30:00Z,0.0
2020-03-05T03:00:00Z,0.0
2020-03-05T03:30:00Z,0.0
2020-03-05T04:00:00Z,0.0
2020-03-05T04:30:00Z,0.0
2020-03-05T05:00:00Z,0.0
2020-03-05T05:30:00Z,0.0
2020-03-05T06:00:00Z,0.0
2020-03-05T06:30:00Z,0.0
2020-03-05T07:00:00Z,0.0
2020-03-05T07:30:00Z,0.0
2020-03-05T08:00:00Z,0.0
2020-03-05T08:30:00Z,0.0
2020-03-05T09:00:00Z,0.0
2020-03-05T09:30:00Z,0.0
2020-03-05T10:00:00Z,0.0
2020-03-05T10:30:00Z,0.0
2020-03-05T11:00:00Z,0.0
2020-03-05T11:30:00Z,0.0
2020-03-05T12:00:00Z,0.0
2020-03-05T12:30:00Z,0.0
2020-03-05T13:00:00Z,0.0
2020-03-05T13:30:00Z,0.0
2020-03-05T14:00:00Z,0.0
2020-03-05T14:30:00Z,0.0
2020-03-05T15:00:00Z,0.0
2020-03-05T15:30:00Z,0.0
2020-03-05T16:00:00Z,0.0
2020-03-05T16:30:00Z,0.0
2020-03-05T17:00:00Z,0.0
2020-03-05T17:30:00Z,0.0
2020-03-05T18:00:00Z,0.0
2020-03-05T18:30:00Z,0.0
2020-03-05T19:00:00Z,0.0
2020-03-05T19:30:00Z,0.0
2020-03-05T20:00:00Z,0.0
2020-03-05T20:30:00Z,0.0
2020-03-05T21:00:00Z,0.0
2020-03-05T21:30:00Z,0.0
2020-03-05T22:00:00Z,0.0
2020-03-05T22:30:00Z,0.0
2020-03-05T23:00:00Z,0.0
2020-03-05T23:30:00Z,0.0
2020-03-06T00:00:00Z,0.0
2020-03-06T00:30:00Z,0.0
2020-03-06T01:00:00Z,0.0
2020-03-06T01:30:00Z,0.0
2020-03-06T02:00:00Z,0.0
2020-03-06T02:30:00Z,0.0
2020-03-06T03:00:00Z,0.0
2020-03-06T03:30:00Z,0.0
2020-03-06T04:00:00Z,0.0
2020-03-06T04:30:00Z,0.0
2020-03-06T05:00:00Z,0.0
2020-03-06T05:30:00Z,0.0
2020-03-06T06:00:00Z,0.0
2020-03-06T06:30:00Z,0.0
2020-03-06T07:00:00Z,0.0
2020-03-06T07:30:00Z,0.0
2020-03-06T08:00:00Z,0.0
2020-03-06T08:30:00Z,0.0
2020-03-06T09:00:00Z,0.0
2020-03-06T09:30:00Z,0.0
2020-03-06T10:00:00Z,0.0
2020-03-06T10:30:00Z,0.0
2020-03-06T11:00:00Z,0.0
2020-03-06T11:30:00Z,0.0
2020-03-06T12:00:00Z,0.0
2020-03-06T12:30:00Z,0.0
2020-03-06T13:00:00Z,0.0
2020-03-06T13:30:00Z,0.0
2020-03-06T14:00:00Z,0.0
2020-03-06T14:30:00Z,0.0
2020-03-06T15:00:00Z,0.0256
2020-03-06T15:30:00Z,0.0
2020-03-06T16:00:00Z,0.0256
2020-03-06T16:30:00Z,0.0258
2020-03-06T17:00:00Z,0.0128
2020-03-06T17:30:00Z,0.0
2020-03-06T18:00:00Z,0.0
2020-03-06T18:30:00Z,0.0
2020-03-06T19:00:00Z,0.0
2020-03-06T19:30:00Z,0.0
2020-03-06T20:00:00Z,0.0
2020-03-06T20:30:00Z,0.0
2020-03-06T21:00:00Z,0.0128
2020-03-06T21:30:00Z,0.0386
2020-03-06T22:00:00Z,0.0514
2020-03-06T22:30:00Z,0.0514
2020-03-06T23:00:00Z,0.0386
2020-03-06T23:30:00Z,0.0386
2020-03-07T00:00:00Z,0.06420000000000001
2020-03-07T00:30:00Z,0.077
2020-03-07T01:00:00Z,0.1286
2020-03-07T01:30:00Z,0.1544
2020-03-07T02:00:00Z,0.129
2020-03-07T02:30:00Z,0.0386
2020-03-07T03:00:00Z,0.0388
2020-03-07T03:30:00Z,0.0
2020-03-07T04:00:00Z,0.013000000000000001
2020-03-07T04:30:00Z,0.013000000000000001
2020-03-07T05:00:00Z,0.0
2020-03-07T05:30:00Z,0.0128
2020-03-07T06:00:00Z,0.0
2020-03-07T06:30:00Z,0.0
2020-03-07T07:00:00Z,0.026000000000000002
2020-03-07T07:30:00Z,0.0
2020-03-07T08:00:00Z,0.0
2020-03-07T08:30:00Z,0.0
2020-03-07T09:00:00Z,0.0128
2020-03-07T09:30:00Z,0.0
2020-03-07T10:00:00Z,0.0
2020-03-07T10:30:00Z,0.0256
2020-03-07T11:00:00Z,0.013000000000000001
2020-03-07T11:30:00Z,0.013000000000000001
2020-03-07T12:00:00Z,0.0
2020-03-07T12:30:00Z,0.0
2020-03-07T13:00:00Z,0.0
2020-03-07T13:30:00Z,0.0
2020-03-07T14:00:00Z,0.0
2020-03-07T14:30:00Z,0.0
2020-03-07T15:00:00Z,0.0
2020-03-07T15:30:00Z,0.0
2020-03-07T16:00:00Z,0.0
2020-03-07T16:30:00Z,0.0
2020-03-07T17:00:00Z,0.0
2020-03-07T17:30:00Z,0.0
2020-03-07T18:00:00Z,0.0
2020-03-07T18:30:00Z,0.0
2020-03-07T19:00:00Z,0.0
2020-03-07T19:30:00Z,0.0
2020-03-07T20:00:00Z,0.0
2020-03-07T20:30:00Z,0.0
2020-03-07T21:00:00Z,0.0128
2020-03-07T21:30:00Z,0.0
2020-03-07T22:00:00Z,0.0
2020-03-07T22:30:00Z,0.0
2020-03-07T23:00:00Z,0.0
2020-03-07T23:30:00Z,0.0
2020-03-08T00:00:00Z,0.0
2020-03-08T00:30:00Z,0.0
2020-03-08T01:00:00Z,0.0
2020-03-08T01:30:00Z,0.0
2020-03-08T02:00:00Z,0.0
2020-03-08T02:30:00Z,0.0
2020-03-08T03:00:00Z,0.0
2020-03-08T03:30:00Z,0.0
2020-03-08T04:00:00Z,0.0
2020-03-08T04:30:00Z,0.0
2020-03-08T05:00:00Z,0.0
2020-03-08T05:30:00Z,0.0
2020-03-08T06:00:00Z,0.0
2020-03-08T06:30:00Z,0.0
2020-03-08T07:00:00Z,0.0
2020-03-08T07:30:00Z,0.0
2020-03-08T08:00:00Z,0.0
2020-03-08T08:30:00Z,0.0
2020-03-08T09:00:00Z,0.0
2020-03-08T09:30:00Z,0.0
2020-03-08T10:00:00Z,0.0
2020-03-08T10:30:00Z,0.0
2020-03-08T11:00:00Z,0.0
2020-03-08T11:30:00Z,0.0
2020-03-08T12:00:00Z,0.0
2020-03-08T12:30:00Z,0.0
2020-03-08T13:00:00Z,0.0
2020-03-08T13:30:00Z,0.0
2020-03-08T14:00:00Z,0.0
2020-03-08T14:30:00Z,0.0
2020-03-08T15:00:00Z,0.0
2020-03-08T15:30:00Z,0.0
2020-03-08T16:00:00Z,0.0
2020-03-08T16:30:00Z,0.0
2020-03-08T17:00:00Z,0.0
2020-03-08T17:30:00Z,0.0
